Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg0527.tlg047.perseus-eng2.xml,,Malachi,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,21891,data/tlg0527/tlg047,data
tlg0527.tlg049.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg049.1st1K-grc1,Ἱερεμίας,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,714624,data/tlg0527/tlg049,data
tlg0527.tlg049.perseus-eng2.xml,,Jeremiah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,388823,data/tlg0527/tlg049,data
tlg0527.tlg032.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg032.1st1K-grc1,Ἰώβ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,361541,data/tlg0527/tlg032,data
tlg0527.tlg032.perseus-eng2.xml,,Job,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,254638,data/tlg0527/tlg032,data
tlg0527.tlg035.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg035.1st1K-grc1,Ψαλμοὶ Σαλομῶντος,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,105648,data/tlg0527/tlg035,data
tlg0527.tlg003.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg003.1st1K-grc1,Λευϊτικόν,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,358138,data/tlg0527/tlg003,data
tlg0527.tlg003.perseus-eng2.xml,,Leviticus,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,252980,data/tlg0527/tlg003,data
tlg0527.tlg004.perseus-eng2.xml,,Numbers,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,325831,data/tlg0527/tlg004,data
tlg0527.tlg004.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg004.1st1K-grc1,Ἀριθμοί,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,499875,data/tlg0527/tlg004,data
tlg0527.tlg050.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg050.1st1K-grc1,Βαρούχ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,51862,data/tlg0527/tlg050,data
tlg0527.tlg057.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg057.1st1K-grc1,Δανιήλ (Theodotionis versio),Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,197102,data/tlg0527/tlg057,data
tlg0527.tlg059.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg059.1st1K-grc1,Βὴλ καὶ Δράκων (Theodotionis versio),Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,19021,data/tlg0527/tlg059,data
tlg0527.tlg005.perseus-eng2.xml,,Deuteronomy,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,264432,data/tlg0527/tlg005,data
tlg0527.tlg005.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg005.1st1K-grc1,Δευτερονόμιον,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,474054,data/tlg0527/tlg005,data
tlg0527.tlg002.perseus-eng2.xml,,Exodus,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,347392,data/tlg0527/tlg002,data
tlg0527.tlg002.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg002.1st1K-grc1,Ἔξοδος,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,485894,data/tlg0527/tlg002,data
tlg0527.tlg034.1st1K-grc2.xml,urn:cts:greekLit:tlg0527.tlg034.1st1K-grc2,Σοφία Ἰησοῦ Σειράχ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,458384,data/tlg0527/tlg034,data
tlg0527.tlg034.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg034.1st1K-grc1,Ἐκκλησιαστικός,,John Henry Arthur Hart,Cambridge University Press,1909,Greek,357746,data/tlg0527/tlg034,data
